ID,Race,Age,Gender,undergrad_gpa,math_camp,gre_verbal,gre_quant,gre_total,graduate_gpa
232,White,23,Female,2.55,FALSE,157,148,305,3.36
100,Other,21,Trans*,1.96,FALSE,139,134,273,2.99
419,Hispanic,21,Male,2.41,FALSE,137,132,269,3.13
692,Asian,21,Male,2.14,FALSE,142,140,282,2.54
1720,Hispanic,29,Female,1.01,FALSE,155,142,297,3.18
283,Black,24,Male,3.01,TRUE,159,132,291,3.39
525,White,22,Female,2.47,FALSE,152,133,285,3.13
466,White,28,Male,2.24,TRUE,144,134,278,3.7
701,Asian,28,Female,3,FALSE,143,136,279,3.07
1908,White,26,Trans*,1.89,FALSE,164,157,321,3.73
0672,White,30,Female,1.97,FALSE,156,155,311,2.81
0869,Hispanic,26,Trans*,1.05,FALSE,132,147,279,3.68
1027,Native,28,Female,2.04,FALSE,159,164,323,3.37
1536,Hispanic,24,Female,2.98,FALSE,155,162,317,2.99
722,White,26,Male,2.38,TRUE,144,142,286,3.65
1905,White,24,Trans*,3.34,FALSE,134,161,295,2.81
0332,White,29,Female,1.06,FALSE,140,164,304,3.46
769,Black,24,Male,2.06,FALSE,159,135,294,2.61
1000,Hispanic,23,Male,3.79,FALSE,161,160,321,3.51
0108,Hispanic,30,Trans*,1.06,FALSE,134,142,276,2.48
0098,Asian,23,Trans*,3.49,FALSE,160,158,318,3.88
364,White,27,Female,2.44,FALSE,142,140,282,3.33
175,White,20,Trans*,2.21,FALSE,135,132,267,2.19
0435,Black,23,Female,2.93,FALSE,142,167,309,2.63
1330,White,21,Trans*,1.67,FALSE,138,163,301,3.37
244,Hispanic,29,Trans*,1.92,TRUE,138,141,279,2.63
0602,White,29,Female,1.65,FALSE,152,158,310,3.47
0718,White,21,Male,3.57,FALSE,155,167,322,3.77
0828,White,26,Male,2.64,FALSE,145,155,300,2.58
1179,White,20,Trans*,3.52,FALSE,141,169,310,3.67
550,Black,27,Female,1.97,TRUE,157,156,313,3.61
1661,Hispanic,24,Female,2.96,FALSE,137,140,277,3.52
0010,Black,27,Male,1.68,FALSE,142,149,291,1.95
034,White,22,Female,2.11,FALSE,131,140,271,3.75
778,White,20,Trans*,2.48,TRUE,148,133,281,2.49
635,Black,25,Male,1.89,FALSE,130,135,265,2.82
1518,White,27,Male,3.47,FALSE,144,133,277,2.91
198,White,25,Female,2.66,FALSE,151,134,285,3.4
271,White,30,Female,3.24,TRUE,137,133,270,3.39
0320,Black,30,Male,2.9,FALSE,132,164,296,2.23
170,White,21,Female,2.28,FALSE,143,134,277,2.52
314,Hispanic,24,Male,2.47,FALSE,161,132,293,2.74
1252,White,22,Trans*,3.01,FALSE,141,163,304,1.84
240,Native,22,Male,2.47,TRUE,143,137,280,2.92
653,Hispanic,30,Female,2.48,FALSE,146,131,277,2.98
